AÑO,MES,PAÍS DESTINO,PUERTO EMBARQUE,PRODUCTO,MONTO FOB (US$),PESO EN TONELADAS
2024,Enero,Alemania,Puerto Angamos,Cobre,10417866.41,1252.204
2024,Enero,Argentina,Jama,Litio,600.0,2.23
2024,Enero,Bélgica,Antofagasta,Litio,2595763.1,123.24
2024,Enero,Bélgica,Antofagasta,Litio,1665067.48,123.68
2024,Enero,Bélgica,Antofagasta,Litio,6327256.12,471.64
2024,Enero,Brasil,Antofagasta,Cobre,420493.07,50.089
2024,Enero,Brasil,Antofagasta,Cobre,1661428.68,200.675
2024,Enero,Brasil,Antofagasta,Cobre,2030431.86,245.623
2024,Enero,Brasil,Antofagasta,Cobre,5267273.22,631.835
2024,Enero,Brasil,Antofagasta,Cobre,9147220.84,1102.301
2024,Enero,Brasil,Antofagasta,Cobre,11408244.32,1369.318
2024,Enero,Brasil,Antofagasta,Cobre,28118664.2,3369.224
2024,Enero,China,Antofagasta,Cobre,3369155.44,402.71
2024,Enero,China,Puerto Angamos,Cobre,15918384.94,1807.047
2024,Enero,China,Puerto Angamos,Cobre,38672534.92,4509.67
2024,Enero,China,Puerto Angamos,Cobre,5295625.87,599.047
2024,Enero,China,Puerto Angamos,Cobre,24049195.42,2765.2
2024,Enero,China,Puerto Angamos,Cobre,1655384.24,200.255
2024,Enero,China,Puerto Angamos,Cobre,4283580.1,511.101
2024,Enero,China,Puerto Angamos,Cobre,12593156.18,1502.581
2024,Enero,China,Puerto Angamos,Cobre,19221569.57,2304.972
2024,Enero,China,Puerto Angamos,Cobre,49393730.5,6016.265
2024,Enero,China,Puerto Angamos,Cobre,78839075.65,9481.147
2024,Enero,China,Puerto Angamos,Cobre,272394283.31,32674.184
2024,Enero,China,Puerto Angamos,Litio,234.0,0.12051
2024,Enero,China,Puerto Angamos,Litio,4048854.6,502.7625
2024,Enero,China,Puerto Angamos,Litio,18749175.63,2308.7225
2024,Enero,China,Puerto Angamos,Litio,84058359.94,2786.4
2024,Enero,China,Puerto Angamos,Litio,3792178.21,473.48
2024,Enero,China,Puerto Angamos,Litio,11780471.75,1470.28
2024,Enero,Corea del Sur,Antofagasta,Litio,1013896.52,60.20725
2024,Enero,Corea del Sur,Antofagasta,Litio,11152862.11,662.27975
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,25962441.01,3003.121
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,828212.44,100.188
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,1653624.1,200.321
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,5833120.54,702.229
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,8807375.38,1055.854
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,20579974.69,2479.426
2024,Enero,Corea del Sur,Puerto Angamos,Cobre,38359684.15,4631.504
2024,Enero,Corea del Sur,Puerto Angamos,Litio,1407663.78,115.7932
2024,Enero,Corea del Sur,Puerto Angamos,Litio,15026350.53,1236.6588
2024,Enero,Corea del Sur,Puerto Angamos,Litio,4.0,0.00206
2024,Enero,Corea del Sur,Puerto Angamos,Litio,596107.0,46.18125
2024,Enero,Corea del Sur,Puerto Angamos,Litio,4638160.7,425.89375
2024,Enero,Corea del Sur,Puerto Angamos,Litio,13888839.23,495.56
2024,Enero,Corea del Sur,Puerto Angamos,Litio,2020888.07,103.1
2024,Enero,Corea del Sur,Puerto Angamos,Litio,1063490.7,83.164
2024,Enero,Corea del Sur,Puerto Angamos,Litio,3441213.42,269.06
2024,Enero,España,Antofagasta,Cobre,4102598.41,500.47
2024,Enero,Estados Unidos de América,Antofagasta,Cobre,4173999.04,502.33
2024,Enero,Estados Unidos de América,Antofagasta,Cobre,12187329.0,1473.81
2024,Enero,Estados Unidos de América,Antofagasta,Cobre,26302265.79,3153.253
2024,Enero,Estados Unidos de América,Antofagasta,Cobre,44193054.01,5318.28
2024,Enero,Estados Unidos de América,Antofagasta,Litio,388683.37,15.165
2024,Enero,Estados Unidos de América,Antofagasta,Litio,219752.92,21.0
2024,Enero,Estados Unidos de América,Antofagasta,Litio,265069.9,24.46
2024,Enero,Estados Unidos de América,Puerto Angamos,Cobre,954029.27,114.604
2024,Enero,Estados Unidos de América,Puerto Angamos,Cobre,7451547.96,991.553
2024,Enero,Estados Unidos de América,Puerto Angamos,Cobre,12089541.99,1466.223
2024,Enero,Estados Unidos de América,Puerto Angamos,Cobre,28487040.08,3403.565
2024,Enero,Estados Unidos de América,Puerto Angamos,Cobre,122021196.95,14592.311
2024,Enero,Estados Unidos de América,Puerto Angamos,Litio,304051.51,31.26
2024,Enero,Francia,Antofagasta,Cobre,3376610.67,405.274
2024,Enero,Francia,Puerto Angamos,Cobre,58345303.67,6819.978
2024,Enero,India,Puerto Angamos,Cobre,26312638.24,3000.816
2024,Enero,Indonesia,Puerto Angamos,Cobre,4183424.62,503.627
2024,Enero,Italia,Antofagasta,Cobre,3333067.36,402.138
2024,Enero,Italia,Antofagasta,Cobre,4195762.63,505.298
2024,Enero,Italia,Antofagasta,Cobre,33576928.57,4005.411
2024,Enero,Japón,Puerto Angamos,Cobre,26096054.34,2999.69
2024,Enero,Japón,Puerto Angamos,Litio,14528052.11,443.485
2024,Enero,Japón,Puerto Angamos,Litio,18534233.72,619.2
2024,Enero,Japón,Puerto Angamos,Litio,832833.21,44.92
2024,Enero,Malasia,Puerto Angamos,Cobre,3759727.48,451.136
2024,Enero,México,Antofagasta,Cobre,1637519.37,202.654
2024,Enero,Países Bajos,Antofagasta,Cobre,8656897.93,994.485
2024,Enero,Países Bajos,Puerto Angamos,Cobre,42327593.33,5012.158
2024,Enero,Singapur,Puerto Angamos,Cobre,8298202.01,1003.015
2024,Enero,Sudáfrica,Antofagasta,Litio,264478.94,10.28
2024,Enero,Tailandia,Puerto Angamos,Cobre,2431413.92,300.744
2024,Enero,Tailandia,Puerto Angamos,Cobre,4187086.28,500.863
2024,Enero,Taiwán (Formosa),Puerto Angamos,Cobre,3762071.44,450.424
2024,Enero,Taiwán (Formosa),Puerto Angamos,Cobre,4141945.2,496.401
2024,Enero,Vietnam,Puerto Angamos,Cobre,2093489.4,250.719
2024,Enero,Vietnam,Puerto Angamos,Litio,118175.65,5.13
2024,Enero,Vietnam,Puerto Angamos,Litio,354526.93,15.39
2024,Enero,China,Arica,Cobre,1668915.37,201.855
2024,Enero,China,Chañaral / Barquito,Cobre,5794957.81,694.732
2024,Enero,China,Chañaral / Barquito,Cobre,59333826.33,7122.594
2024,Enero,China,Coronel,Cobre,2447241.42,294.65
2024,Enero,China,Coronel,Cobre,6790207.67,826.627
2024,Enero,China,Coronel,Cobre,10968217.23,1316.748
2024,Enero,China,Coronel,Litio,64.0,0.03296
2024,Enero,China,Coronel,Litio,15958850.16,536.64
2024,Enero,China,Coronel,Cobre,155825.68,19.329
2024,Enero,China,Lirquén,Cobre,429655.0,52.078
2024,Enero,China,Lirquén,Cobre,139096.0,21.026
2024,Enero,China,Lirquén,Cobre,174644.67,25.723
2024,Enero,Corea del Sur,Coronel,Litio,4.0,0.00206
2024,Enero,Corea del Sur,Coronel,Litio,12252345.23,433.6
2024,Enero,Corea del Sur,Lirquén,Cobre,498012.31,63.0
