Año,Mes,Pais de destino,Puerto de embarque,Producto,Monto Fob(US$),Peso (Toneladas)
2021,Enero,Alemania,Puerto Angamos,Cobre,772307.79,100.22
2021,Enero,Bélgica,Puerto Angamos,Litio,313523.38,41.12
2021,Enero,Bélgica,Puerto Angamos,Litio,1159695.89,183.6
2021,Enero,Brasil,Antofagasta,Cobre,72127535.33,9121.811
2021,Enero,Canadá,Antofagasta,Cobre,84245485.05,10005.357
2021,Enero,Canadá,Puerto Angamos,Cobre,1596146.83,201.167
2021,Enero,Canadá,Puerto Angamos,Litio,132702.75,20.62
2021,Enero,China,Antofagasta,Cobre,13532650.78,1801.587
2021,Enero,China,Antofagasta,Cobre,136986187.03,17211.234
2021,Enero,China,Antofagasta,Litio,115.79,0.01854
2021,Enero,China,Antofagasta,Litio,217326.27,62.76
2021,Enero,China,Antofagasta,Litio,135039.24,20.72
2021,Enero,China,Antofagasta,Litio,502673.46,149.52
2021,Enero,China,Puerto Angamos,Cobre,44067228.28,4998.233
2021,Enero,China,Puerto Angamos,Cobre,265345478.87,33799.952
2021,Enero,China,Puerto Angamos,Litio,325.8,0.01404
2021,Enero,China,Puerto Angamos,Litio,2940102.09,454.08
2021,Enero,China,Puerto Angamos,Litio,7082287.14,2003.12
2021,Enero,China,Puerto Angamos,Litio,10872043.89,3104.42
2021,Enero,Corea del Sur,Antofagasta,Cobre,798564.0,101.426
2021,Enero,Corea del Sur,Antofagasta,Cobre,36710348.35,4619.666
2021,Enero,Corea del Sur,Antofagasta,Litio,6230807.01,908.64
2021,Enero,Corea del Sur,Puerto Angamos,Cobre,9294636.85,1007.31
2021,Enero,Corea del Sur,Puerto Angamos,Cobre,46612379.43,5506.398
2021,Enero,Corea del Sur,Puerto Angamos,Cobre,3958930.1,500.277
2021,Enero,Corea del Sur,Puerto Angamos,Cobre,77258810.88,9360.814
2021,Enero,Corea del Sur,Puerto Angamos,Litio,5355077.38,666.56
2021,Enero,Corea del Sur,Puerto Angamos,Litio,4996459.36,861.84
2021,Enero,Corea del Sur,Puerto Angamos,Litio,5097568.9,743.44
2021,Enero,Corea del Sur,Puerto Angamos,Litio,892555.58,146.76
2021,Enero,España,Puerto Angamos,Cobre,16971545.9,2085.965
2021,Enero,Estados Unidos de América,Antofagasta,Cobre,52982818.45,6643.454
2021,Enero,Estados Unidos de América,Puerto Angamos,Cobre,4006866.2,503.971
2021,Enero,Estados Unidos de América,Puerto Angamos,Cobre,6038885.53,853.319
2021,Enero,Estados Unidos de América,Puerto Angamos,Cobre,214824512.7,26670.225
2021,Enero,Estados Unidos de América,Puerto Angamos,Litio,35.05,0.00585
2021,Enero,Estados Unidos de América,Puerto Angamos,Litio,384280.78,58.767
2021,Enero,Estados Unidos de América,Puerto Angamos,Litio,314885.39,48.92
2021,Enero,Estados Unidos de América,Puerto Angamos,Cobre,20157993.39,2516.507
2021,Enero,Francia,Puerto Angamos,Cobre,33949233.92,4313.44
2021,Enero,Indonesia,Antofagasta,Cobre,4008703.7,503.41
2021,Enero,Japón,Antofagasta,Litio,67.48,0.01404
2021,Enero,Japón,Antofagasta,Litio,2543805.6,412.8
2021,Enero,Japón,Puerto Angamos,Litio,1073045.24,129.64
2021,Enero,Japón,Puerto Angamos,Litio,891031.96,144.48
2021,Enero,Japón,Puerto Angamos,Litio,5037113.45,809.08
2021,Enero,Países Bajos,Puerto Angamos,Cobre,1613990.54,204.816
2021,Enero,Tailandia,Antofagasta,Cobre,14257770.26,1802.452
2021,Enero,Tailandia,Puerto Angamos,Cobre,10103409.71,1285.171
2021,Enero,Taiwán (Formosa),Antofagasta,Cobre,5861992.72,705.203
2021,Enero,Taiwán (Formosa),Antofagasta,Cobre,44250169.38,5566.423
2021,Enero,Taiwán (Formosa),Puerto Angamos,Cobre,7979952.94,999.914
2021,Enero,Canadá,Arica,Cobre,1410899.71,202.026
2021,Enero,China,Arica,Cobre,1977879.08,302.718
2021,Enero,Brasil,San Vicente,Cobre,190540.87,27.827
2021,Enero,Brasil,San Vicente,Cobre,384128.21,50.588
2021,Enero,Corea del Sur,Lirquén,Cobre,132825.3,19.032
2021,Enero,España,Coronel,Cobre,130636.38,21.813
2021,Enero,Argentina,Aerop. A. Merino Benítez,Plata,21777.39,0.42077
2021,Enero,Bélgica,Aerop. A. Merino Benítez,Litio,22.5,0.005
2021,Enero,China,Aerop. A. Merino Benítez,Litio,200.0,0.01
2021,Enero,Corea del Sur,Aerop. A. Merino Benítez,Litio,173.71,0.0252
2021,Enero,España,Aerop. A. Merino Benítez,Oro,6172338.96,0.1038
2021,Enero,Estados Unidos de América,Aerop. A. Merino Benítez,Oro,3788806.73,0.31017
2021,Enero,Estados Unidos de América,Aerop. A. Merino Benítez,Plata,30839476.82,39.04532
2021,Enero,Estados Unidos de América,Aerop. A. Merino Benítez,Litio,26.75,0.005
2021,Enero,Japón,Aerop. A. Merino Benítez,Plata,663297.83,0.91
2021,Enero,Japón,Aerop. A. Merino Benítez,Litio,43.74,0.0068
2021,Enero,Perú,Aerop. A. Merino Benítez,Plata,4869.15,0.012
2021,Enero,Suiza,Aerop. A. Merino Benítez,Oro,874.44,0.00078
2021,Enero,Suiza,Aerop. A. Merino Benítez,Oro,40370083.24,1.20632
2021,Enero,Suiza,Aerop. A. Merino Benítez,Oro,40947509.4,11.71313
2021,Enero,Alemania,Iquique,Cobre,856073.2,101.312
2021,Enero,Bélgica,Iquique,Cobre,107267.28,20.43
2021,Enero,China,Iquique,Cobre,48640688.55,6045.76
2021,Enero,China,Iquique,Cobre,5188.31,0.74
2021,Enero,China,Iquique,Litio,77.92,0.01236
2021,Enero,China,Iquique,Litio,1862989.62,288.84
2021,Enero,Corea del Sur,Iquique,Cobre,4739410.64,610.11
2021,Enero,Corea del Sur,Iquique,Cobre,30548.3,4.759
2021,Enero,Corea del Sur,Iquique,Litio,4456389.5,651.283
2021,Enero,Emiratos Árabes Unidos,Iquique,Cobre,3201814.81,405.324
2021,Enero,España,Iquique,Cobre,727508.67,94.461
2021,Enero,Italia,Iquique,Cobre,3938647.6,507.491
2021,Enero,Japón,Iquique,Litio,1397099.08,227.04
2021,Enero,Taiwán (Formosa),Iquique,Cobre,4041258.49,506.382
2021,Enero,Argentina,Cristo Redentor (Los Libertadores),Cobre,1810499.1,235.538
2021,Enero,Argentina,Cristo Redentor (Los Libertadores),Cobre,49515.1,6.0958
2021,Enero,Argentina,Cristo Redentor (Los Libertadores),Cobre,301470.0,50.045
2021,Enero,Argentina,Cristo Redentor (Los Libertadores),Plata,43064.46,0.3799
2021,Enero,Bélgica,San Antonio,Cobre,339578.86,62.32
2021,Enero,Bélgica,San Antonio,Cobre,225530.12,43.51
2021,Enero,Brasil,San Antonio,Cobre,9089736.95,1004.718
2021,Enero,Brasil,San Antonio,Cobre,23434324.33,3000.118
2021,Enero,Brasil,San Antonio,Cobre,37089284.4,4565.153
2021,Enero,Brasil,San Antonio,Cobre,882023.13,147.175
2021,Enero,Brasil,San Antonio,Cobre,646450.0,100.926
2021,Enero,China,San Antonio,Cobre,2538380.25,302.07
2021,Enero,China,San Antonio,Cobre,40012168.21,5010.296
2021,Enero,China,San Antonio,Cobre,844517.94,101.776
2021,Enero,China,San Antonio,Cobre,4243255.04,499.884
2021,Enero,China,San Antonio,Cobre,4252590.23,500.93
2021,Enero,China,San Antonio,Cobre,38244144.03,4476.819
2021,Enero,China,San Antonio,Cobre,5647218.69,703.668
2021,Enero,China,San Antonio,Cobre,8017164.28,1000.297
2021,Enero,China,San Antonio,Cobre,31133456.62,5301.449
2021,Enero,China,San Antonio,Cobre,472004.38,68.12
2021,Enero,China,San Antonio,Cobre,489893.8,96.62
2021,Enero,China,San Antonio,Cobre,127118.35,24.85
2021,Enero,China,San Antonio,Cobre,383822.6,88.696
2021,Enero,China,San Antonio,Cobre,146793.64,22.4
2021,Enero,China,Valparaíso,Cobre,8961750.26,1181.493
2021,Enero,China,Valparaíso,Litio,409.56,0.03323
2021,Enero,China,Valparaíso,Litio,217327.95,62.76
2021,Enero,China,Valparaíso,Litio,261449.37,74.76
2021,Enero,China,Valparaíso,Cobre,16704657.96,1999.804
2021,Enero,China,Valparaíso,Cobre,21027520.1,2653.339
2021,Enero,China,Valparaíso,Cobre,40172015.22,6626.37
2021,Enero,Corea del Sur,San Antonio,Cobre,8535024.99,1008.593
2021,Enero,Corea del Sur,San Antonio,Cobre,1155560.06,218.196
2021,Enero,Corea del Sur,San Antonio,Cobre,107027.0,76.79
2021,Enero,Corea del Sur,San Antonio,Cobre,879604.46,100.813
2021,Enero,Corea del Sur,San Antonio,Cobre,34054748.86,3905.606
2021,Enero,Corea del Sur,San Antonio,Cobre,3528659.82,451.448
2021,Enero,Corea del Sur,San Antonio,Cobre,1704951.2,243.68
2021,Enero,Corea del Sur,San Antonio,Cobre,261646.4,40.022
